i,identity,drop_stage,drop_detail,gt_text,plate_entry,ocr_raw,n_faces_entry,entry_rid_code,n_faces_exit,rid,matched_rid,match_sim,plate_img,probe_img
102,Michael_Phelps,,,30E00090,30E-00090,30E00090,1,20018,1,20018,20018,0.7108930349349976,yolo_plate_ocr_data/images/val/3CarLongPlate825.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Michael_Phelps/Michael_Phelps_0004.jpg
103,Elizabeth_Dole,,,59F175031,59F1-75031,59F175031,1,20019,1,20019,20019,0.5023834109306335,yolo_plate_ocr_data/images/val/8xemay1436.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Elizabeth_Dole/Elizabeth_Dole_0002.jpg
104,Roger_Moore,,,51F61712,51F-61712,51F61712,1,20020,1,20020,20020,0.6331912279129028,yolo_plate_ocr_data/images/val/4CarLongPlate927.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Roger_Moore/Roger_Moore_0002.jpg
105,Horst_Koehler,,,50HB2282,50HB-2282,50HB2282,1,20021,1,20021,20021,0.6140507459640503,yolo_plate_ocr_data/images/val/2xemay2160.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Horst_Koehler/Horst_Koehler_0001.jpg
106,Matt_Doherty,,,92L87156,92L-87156,92L87156,1,20022,1,20022,20022,0.6435003876686096,yolo_plate_ocr_data/images/val/3xemay1413.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Matt_Doherty/Matt_Doherty_0002.jpg
107,Rupert_Murdoch,,,51G39466,51G-39466,51G39466,1,20023,1,20023,20023,0.520470380783081,yolo_plate_ocr_data/images/val/6CarLongPlate249.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Rupert_Murdoch/Rupert_Murdoch_0002.jpg
108,Bob_Dole,,,51A89714,51A-89714,51A89714,1,20024,1,20024,20024,0.641040563583374,yolo_plate_ocr_data/images/val/5CarLongPlate761.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Bob_Dole/Bob_Dole_0002.jpg
109,Raghad_Saddam_Hussein,,,51A05227,51A-05227,51A05227,1,20025,1,20025,20025,0.836326003074646,yolo_plate_ocr_data/images/val/3CarLongPlate561.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Raghad_Saddam_Hussein/Raghad_Saddam_Hussein_0001.jpg
110,Gerhard_Schroeder,,,59D120255,59D1-20255,59D120255,1,20026,1,20026,20026,0.6564756631851196,yolo_plate_ocr_data/images/val/3xemay770.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Gerhard_Schroeder/Gerhard_Schroeder_0024.jpg
111,Mark_Hamister,,,59B131149,59B1-31149,59B131149,1,20027,1,20027,20027,0.8072942495346069,yolo_plate_ocr_data/images/val/3xemay1858.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Mark_Hamister/Mark_Hamister_0001.jpg
112,Kelvin_Sampson,,,59S168287,59S1-68287,59S168287,1,20028,1,20028,20028,0.6606544256210327,yolo_plate_ocr_data/images/val/5xemay367.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Kelvin_Sampson/Kelvin_Sampson_0002.jpg
113,Costas_Simitis,,,51G37307,51G-37307,51G37307,1,20029,1,20029,20029,0.5841323137283325,yolo_plate_ocr_data/images/val/3CarLongPlate531.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Costas_Simitis/Costas_Simitis_0005.jpg
114,Sharon_Stone,,,59C211894,59C2-11894,59C211894,1,20030,1,20030,20030,0.5846960544586182,yolo_plate_ocr_data/images/val/6xemay203.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Sharon_Stone/Sharon_Stone_0005.jpg
115,Laurent_Jalabert,,,59E134192,59E1-34192,59E134192,1,20031,1,20031,20031,0.7181920409202576,yolo_plate_ocr_data/images/val/3xemay521.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Laurent_Jalabert/Laurent_Jalabert_0002.jpg
116,Warren_Buffett,,,59E117936,59E1-17936,59E117936,1,20032,1,20032,20032,0.7333234548568726,yolo_plate_ocr_data/images/val/2xemay2354.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Warren_Buffett/Warren_Buffett_0001.jpg
117,Mark_Wahlberg,,,63H27326,63H-27326,63H27326,1,20033,1,20033,20033,0.44670209288597107,yolo_plate_ocr_data/images/val/1xemay509.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Mark_Wahlberg/Mark_Wahlberg_0004.jpg
118,Gilberto_Rodriguez_Orejuela,,,59L167824,59L1-67824,59L167824,1,20034,1,20034,20034,0.5944812297821045,yolo_plate_ocr_data/images/val/13xemay1086.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Gilberto_Rodriguez_Orejuela/Gilberto_Rodriguez_Orejuela_0002.jpg
119,Heidi_Klum,,,54P24739,54P-24739,54P24739,1,20035,1,20035,20035,0.5913836359977722,yolo_plate_ocr_data/images/val/3xemay1475.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Heidi_Klum/Heidi_Klum_0001.jpg
120,Sergei_Ivanov,,,59K113099,59K1-13099,59K113099,1,20036,1,20036,20036,0.4541131854057312,yolo_plate_ocr_data/images/val/2xemay2397.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Sergei_Ivanov/Sergei_Ivanov_0002.jpg
121,Silvio_Fernandez,,,61A39534,61A-39534,61A39534,1,20037,1,20037,20037,0.5845142602920532,yolo_plate_ocr_data/images/val/3CarLongPlate725.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Silvio_Fernandez/Silvio_Fernandez_0002.jpg
122,Hashim_Thaci,,,59T159973,59T1-59973,59T159973,1,20038,1,20038,20038,0.6977768540382385,yolo_plate_ocr_data/images/val/10xemay2215.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Hashim_Thaci/Hashim_Thaci_0001.jpg
123,Larry_Lindsey,,,59U13868,59U1-43868,59U143868,1,20039,1,20039,20039,0.5407757759094238,yolo_plate_ocr_data/images/val/9xemay1163.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Larry_Lindsey/Larry_Lindsey_0001.jpg
124,Patrice_Chereau,,,59S175715,59S1-75715,59S175715,1,20040,1,20040,20040,0.6359765529632568,yolo_plate_ocr_data/images/val/3xemay1456.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Patrice_Chereau/Patrice_Chereau_0002.jpg
125,Stacy_Dragila,,,30E00090,30E-00090,30E00090,1,20041,1,20041,20041,0.6154706478118896,yolo_plate_ocr_data/images/val/3CarLongPlate930.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Stacy_Dragila/Stacy_Dragila_0002.jpg
126,Vladimir_Spidla,,,59C246326,59C2-46326,59C246326,1,20042,1,20042,20042,0.7741788625717163,yolo_plate_ocr_data/images/val/12xemay873.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Vladimir_Spidla/Vladimir_Spidla_0001.jpg
127,Thomas_Bjorn,,,63H27326,63H-27326,63H27326,1,20043,1,20043,20043,0.5218074321746826,yolo_plate_ocr_data/images/val/4xemay2197.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Thomas_Bjorn/Thomas_Bjorn_0002.jpg
128,Liam_Neeson,,,59N100569,59N1-00569,59N100569,1,20044,1,20044,20044,0.4547870457172394,yolo_plate_ocr_data/images/val/3xemay1055.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Liam_Neeson/Liam_Neeson_0003.jpg
129,Jeffrey_Immelt,,,51A01204,51A-01204,51A01204,1,20045,1,20045,20045,0.708641529083252,yolo_plate_ocr_data/images/val/5CarLongPlate516.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jeffrey_Immelt/Jeffrey_Immelt_0001.jpg
130,Mark_Philippoussis,,,59C139916,59C1-39916,59C139916,1,20046,1,20046,20046,0.6390964984893799,yolo_plate_ocr_data/images/val/12xemay424.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Mark_Philippoussis/Mark_Philippoussis_0007.jpg
131,Amelie_Mauresmo,,,59F170424,59F1-70424,59F170424,1,20047,1,20047,20047,0.601050615310669,yolo_plate_ocr_data/images/val/5xemay86.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Amelie_Mauresmo/Amelie_Mauresmo_0013.jpg
132,David_Caraway,,,52U49980,52U-49980,52U49980,1,20048,1,20048,20048,0.6644184589385986,yolo_plate_ocr_data/images/val/5xemay1056.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/David_Caraway/David_Caraway_0001.jpg
133,Martha_Burk,,,54F24106,54F-24106,54F24106,1,20049,1,20049,20049,0.5264396667480469,yolo_plate_ocr_data/images/val/9xemay1029.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Martha_Burk/Martha_Burk_0001.jpg
134,Ben_Howland,,,77D112938,77D1-12938,77D112938,1,20050,1,20050,20050,0.8393278121948242,yolo_plate_ocr_data/images/val/6xemay609.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Ben_Howland/Ben_Howland_0004.jpg
135,Rolandas_Paksas,,,60A21418,60A-21418,60A21418,1,20051,1,20051,20051,0.350455641746521,yolo_plate_ocr_data/images/val/3CarLongPlate236.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Rolandas_Paksas/Rolandas_Paksas_0001.jpg
136,Kemal_Dervis,,,62M136169,62M1-36169,62M136169,1,20052,1,20052,20052,0.7079758048057556,yolo_plate_ocr_data/images/val/4xemay2035.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Kemal_Dervis/Kemal_Dervis_0003.jpg
137,Kurt_Russell,,,59T118362,59T1-18362,59T118362,1,20053,1,20053,20053,0.627027153968811,yolo_plate_ocr_data/images/val/5xemay2309.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Kurt_Russell/Kurt_Russell_0002.jpg
138,Cesar_Maia,,,599153310,59V1-53310,59V153310,1,20054,1,20054,20054,0.38772696256637573,yolo_plate_ocr_data/images/val/2xemay1117.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Cesar_Maia/Cesar_Maia_0001.jpg
139,Klaus_Zwickel,,,54X45969,54X-45969,54X45969,1,20055,1,20055,20055,0.7386900782585144,yolo_plate_ocr_data/images/val/3xemay2485.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Klaus_Zwickel/Klaus_Zwickel_0001.jpg
140,Romano_Prodi,,,61A22959,61A-22959,61A22959,1,20056,1,20056,20056,0.5658584833145142,yolo_plate_ocr_data/images/val/3CarLongPlate454.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Romano_Prodi/Romano_Prodi_0002.jpg
141,Blythe_Hartley,,,59N161776,59N1-61776,59N161776,1,20057,1,20057,20057,0.5677213072776794,yolo_plate_ocr_data/images/val/2xemay2334.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Blythe_Hartley/Blythe_Hartley_0001.jpg
142,Peter_Bacanovic,,,48B128807,48B1-28807,48B128807,1,20058,1,20058,20058,0.7408923506736755,yolo_plate_ocr_data/images/val/6xemay516.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Peter_Bacanovic/Peter_Bacanovic_0002.jpg
143,Strom_Thurmond,,,54U25965,54U-25965,54U25965,1,20059,1,20059,20059,0.5578204393386841,yolo_plate_ocr_data/images/val/2xemay1515.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Strom_Thurmond/Strom_Thurmond_0002.jpg
144,Ricardo_Monasterio,,,66S109018,66S1-09018,66S109018,1,20060,1,20060,20060,0.7496577501296997,yolo_plate_ocr_data/images/val/4xemay2161.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Ricardo_Monasterio/Ricardo_Monasterio_0001.jpg
145,Matthew_Broderick,,,51G01177,51G-01177,51G01177,1,20061,1,20061,20061,0.5789185166358948,yolo_plate_ocr_data/images/val/5CarLongPlate210.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Matthew_Broderick/Matthew_Broderick_0004.jpg
146,Andre_Agassi,,,79H120023,79H1-20023,79H120023,1,20062,1,20062,20062,0.4981900453567505,yolo_plate_ocr_data/images/val/6xemay215.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Andre_Agassi/Andre_Agassi_0019.jpg
147,Elena_Bovina,,,59H102876,59HD-02876,59HD02876,1,20063,1,20063,20063,0.44390156865119934,yolo_plate_ocr_data/images/val/2xemay438.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Elena_Bovina/Elena_Bovina_0001.jpg
148,Vicki_Zhao_Wei,,,51G21670,51G-21670,51G21670,1,20064,1,20064,20064,0.6994508504867554,yolo_plate_ocr_data/images/val/3CarLongPlate420.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Vicki_Zhao_Wei/Vicki_Zhao_Wei_0001.jpg
149,Lleyton_Hewitt,,,86B341492,86B3-41492,86B341492,1,20065,1,20065,20065,0.5229958295822144,yolo_plate_ocr_data/images/val/5xemay82.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Lleyton_Hewitt/Lleyton_Hewitt_0035.jpg
150,Rick_Carlisle,,,52P39520,52P-39520,52P39520,1,20066,1,20066,20066,0.6813844442367554,yolo_plate_ocr_data/images/val/3xemay1405.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Rick_Carlisle/Rick_Carlisle_0002.jpg
151,Al_Davis,,,61N40663,61MN-40663,61MN40663,1,20067,1,20067,20067,0.6492769718170166,yolo_plate_ocr_data/images/val/3xemay1237.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Al_Davis/Al_Davis_0001.jpg
152,Sila_Calderon,,,59P163138,59P1-63138,59P163138,1,20068,1,20068,20068,0.6361832618713379,yolo_plate_ocr_data/images/val/3xemay241.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Sila_Calderon/Sila_Calderon_0004.jpg
153,Zinedine_Zidane,,,59F132210,59F1-32210,59F132210,1,20069,1,20069,20069,0.6087532043457031,yolo_plate_ocr_data/images/val/11xemay1197.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Zinedine_Zidane/Zinedine_Zidane_0006.jpg
154,Juanes,,,59L231395,59L2-31395,59L231395,1,20070,1,20070,20070,0.6945306658744812,yolo_plate_ocr_data/images/val/2xemay2083.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Juanes/Juanes_0001.jpg
155,Fred_Thompson,,,79C122177,79C1-22177,79C122177,1,20071,1,20071,20071,0.6156578063964844,yolo_plate_ocr_data/images/val/1xemay2343.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Fred_Thompson/Fred_Thompson_0001.jpg
156,Donatella_Versace,,,59N125521,59N1-25521,59N125521,1,20072,1,20072,20072,0.5623034834861755,yolo_plate_ocr_data/images/val/4xemay2188.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Donatella_Versace/Donatella_Versace_0001.jpg
157,Pascal_Quignard,,,51G49539,51G-49539,51G49539,1,20073,1,20073,20073,0.6992629766464233,yolo_plate_ocr_data/images/val/4CarLongPlate479.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Pascal_Quignard/Pascal_Quignard_0001.jpg
158,Jelena_Dokic,,,49B145348,49B1-45348,49B145348,1,20074,1,20074,20074,0.5375546216964722,yolo_plate_ocr_data/images/val/5xemay1590.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jelena_Dokic/Jelena_Dokic_0002.jpg
159,Gerardo_Gambala,,,51F16159,51F-16159,51F16159,1,20075,1,20075,20075,0.653099775314331,yolo_plate_ocr_data/images/val/8CarLongPlate265.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Gerardo_Gambala/Gerardo_Gambala_0002.jpg
160,Jean-Claude_Juncker,,,59Z120681,59Z1-20681,59Z120681,1,20076,1,20076,20076,0.6234943866729736,yolo_plate_ocr_data/images/val/3xemay780.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jean-Claude_Juncker/Jean-Claude_Juncker_0001.jpg
161,Eva_Dimas,,,60B193113,60D1-93113,60D193113,1,20077,1,20077,20077,0.5797684192657471,yolo_plate_ocr_data/images/val/13xemay732.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Eva_Dimas/Eva_Dimas_0001.jpg
162,Priscilla_Presley,,,51F84779,51FB-4779,51FB4779,1,20078,1,20078,20078,0.6456362009048462,yolo_plate_ocr_data/images/val/6xemay20.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Priscilla_Presley/Priscilla_Presley_0002.jpg
163,Ashanti,,,49B104182,49B1-04182,49B104182,1,20079,1,20079,20079,0.5354602336883545,yolo_plate_ocr_data/images/val/13xemay359.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Ashanti/Ashanti_0002.jpg
164,Jon_Voight,,,72S14860,72S-14860,72S14860,1,20080,1,20080,20080,0.6171669960021973,yolo_plate_ocr_data/images/val/11CarLongPlate84.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jon_Voight/Jon_Voight_0003.jpg
165,Priscilla_Owen,,,59B135294,59B1-35294,59B135294,1,20081,1,20081,20081,0.46331357955932617,yolo_plate_ocr_data/images/val/10xemay398.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Priscilla_Owen/Priscilla_Owen_0001.jpg
166,Juergen_Peters,,,60R61172,60R-61172,60R61172,1,20082,1,20082,20082,0.6807212829589844,yolo_plate_ocr_data/images/val/12xemay1338.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Juergen_Peters/Juergen_Peters_0002.jpg
167,Bruce_Van_De_Velde,,,59D166974,59D1-66974,59D166974,1,20083,1,20083,20083,0.6681573390960693,yolo_plate_ocr_data/images/val/5xemay200.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Bruce_Van_De_Velde/Bruce_Van_De_Velde_0001.jpg
168,Patrick_Roy,,,59B125157,59B1-25157,59B125157,1,20084,1,20084,20084,0.35534024238586426,yolo_plate_ocr_data/images/val/8xemay854.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Patrick_Roy/Patrick_Roy_0002.jpg
169,Janet_Napolitano,,,59F158405,59F1-58405,59F158405,1,20085,1,20085,20085,0.7056563496589661,yolo_plate_ocr_data/images/val/7xemay2291.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Janet_Napolitano/Janet_Napolitano_0002.jpg
170,Olesya_Bonabarenko,,,83B66954,83F-66954,83F66954,1,20086,1,20086,20086,0.5965482592582703,yolo_plate_ocr_data/images/val/3xemay2132.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Olesya_Bonabarenko/Olesya_Bonabarenko_0002.jpg
171,Zoran_Djindjic,,,60B511827,60B5-11827,60B511827,1,20087,1,20087,20087,0.6981641054153442,yolo_plate_ocr_data/images/val/2xemay890.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Zoran_Djindjic/Zoran_Djindjic_0002.jpg
172,Al_Pacino,,,51G20536,51G-20536,51G20536,1,20088,1,20088,20088,0.6118254661560059,yolo_plate_ocr_data/images/val/5CarLongPlate999.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Al_Pacino/Al_Pacino_0003.jpg
173,Ann_Veneman,,,59C149744,59C1-49744,59C149744,1,20089,1,20089,20089,0.6374117136001587,yolo_plate_ocr_data/images/val/2xemay211.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Ann_Veneman/Ann_Veneman_0010.jpg
174,Gregg_Popovich,,,51A96141,51A-96141,51A96141,1,20090,1,20090,20090,0.5058525800704956,yolo_plate_ocr_data/images/val/5CarLongPlate173.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Gregg_Popovich/Gregg_Popovich_0001.jpg
175,Zhang_Ziyi,,,79U24621,79U-24621,79U24621,1,20091,1,20091,20091,0.7020180225372314,yolo_plate_ocr_data/images/val/8xemay2293.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Zhang_Ziyi/Zhang_Ziyi_0002.jpg
176,Roh_Moo-hyun,,,59E155040,59E1-55040,59E155040,1,20092,1,20092,20092,0.7543798685073853,yolo_plate_ocr_data/images/val/9xemay630.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Roh_Moo-hyun/Roh_Moo-hyun_0009.jpg
177,Bo_Pelini,,,47B142872,47B1-42872,47B142872,1,20093,1,20093,20093,0.7938799858093262,yolo_plate_ocr_data/images/val/3xemay198.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Bo_Pelini/Bo_Pelini_0002.jpg
178,John_Timoney,,,51G51332,51G-51332,51G51332,1,20094,1,20094,20094,0.7414396405220032,yolo_plate_ocr_data/images/val/6CarLongPlate288.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/John_Timoney/John_Timoney_0001.jpg
179,Javier_Solana,,,60B236161,60B2-36161,60B236161,1,20095,1,20095,20095,0.7893191576004028,yolo_plate_ocr_data/images/val/12xemay601.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Javier_Solana/Javier_Solana_0010.jpg
180,Bill_Callahan,,,61C161407,61C1-61407,61C161407,1,20096,1,20096,20096,0.5234986543655396,yolo_plate_ocr_data/images/val/3xemay1645.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Bill_Callahan/Bill_Callahan_0003.jpg
181,Carrie-Anne_Moss,,,59G133671,59G1-33671,59G133671,1,20097,1,20097,20097,0.6959143877029419,yolo_plate_ocr_data/images/val/6xemay165.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Carrie-Anne_Moss/Carrie-Anne_Moss_0001.jpg
182,Meryl_Streep,,,59D231916,59D2-31916,59D231916,1,20098,1,20098,20098,0.6208881139755249,yolo_plate_ocr_data/images/val/6CarLongPlate843.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Meryl_Streep/Meryl_Streep_0012.jpg
183,Tony_Curtis,,,60B715461,60B7-15461,60B715461,1,20099,1,20099,20099,0.6232454180717468,yolo_plate_ocr_data/images/val/9xemay1127.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Tony_Curtis/Tony_Curtis_0001.jpg
184,Mark_Dacey,,,59L194176,59L1-94176,59L194176,1,20100,1,20100,20100,0.7274213433265686,yolo_plate_ocr_data/images/val/2xemay2137.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Mark_Dacey/Mark_Dacey_0002.jpg
185,Robert_Mugabe,,,59F113860,59F1-13860,59F113860,1,20101,1,20101,20101,0.7455528974533081,yolo_plate_ocr_data/images/val/9xemay1675.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Robert_Mugabe/Robert_Mugabe_0002.jpg
186,Carlo_Ancelotti,,,59V107473,59V1-07473,59V107473,1,20102,1,20102,20102,0.6557934284210205,yolo_plate_ocr_data/images/val/3xemay9.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Carlo_Ancelotti/Carlo_Ancelotti_0001.jpg
187,Parris_Glendening,,,59B123468,59B1-23468,59B123468,1,20103,1,20103,20103,0.6958783864974976,yolo_plate_ocr_data/images/val/5xemay1396.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Parris_Glendening/Parris_Glendening_0002.jpg
188,Lindsey_Graham,,,51F24476,51F-24476,51F24476,1,20104,1,20104,20104,0.624415934085846,yolo_plate_ocr_data/images/val/4CarLongPlate505.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Lindsey_Graham/Lindsey_Graham_0002.jpg
189,Nestor_Kirchner,,,59H155699,59H1-55699,59H155699,1,20105,1,20105,20105,0.6416600942611694,yolo_plate_ocr_data/images/val/12xemay179.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Nestor_Kirchner/Nestor_Kirchner_0030.jpg
190,Rick_Santorum,,,59L223714,59L2-23714,59L223714,1,20106,1,20106,20106,0.554482102394104,yolo_plate_ocr_data/images/val/3xemay1990.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Rick_Santorum/Rick_Santorum_0003.jpg
191,Emma_Watson,,,37E119145,37E1-19145,37E119145,1,20107,1,20107,20107,0.565585732460022,yolo_plate_ocr_data/images/val/2xemay974.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Emma_Watson/Emma_Watson_0001.jpg
192,Oleksandr_Moroz,,,51A01204,51A-01204,51A01204,1,20108,1,20108,20108,0.6627158522605896,yolo_plate_ocr_data/images/val/3CarLongPlate663.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Oleksandr_Moroz/Oleksandr_Moroz_0002.jpg
193,Sue_Wicks,,,51F44614,51F-44614,51F44614,1,20109,1,20109,20109,0.543823778629303,yolo_plate_ocr_data/images/val/5CarLongPlate949.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Sue_Wicks/Sue_Wicks_0001.jpg
194,Rick_Stansbury,,,66L126685,66L1-26685,66L126685,1,20110,1,20110,20110,0.6634885668754578,yolo_plate_ocr_data/images/val/1xemay1599.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Rick_Stansbury/Rick_Stansbury_0003.jpg
195,Harry_Belafonte,,,76G112000,76G1-12000,76G112000,1,20111,1,20111,20111,0.6687839031219482,yolo_plate_ocr_data/images/val/3xemay226.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Harry_Belafonte/Harry_Belafonte_0002.jpg
196,Condoleezza_Rice,,,51F44614,51F-44614,51F44614,1,20112,1,20112,20112,0.647533118724823,yolo_plate_ocr_data/images/val/11CarLongPlate587.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Condoleezza_Rice/Condoleezza_Rice_0011.jpg
197,Bill_Simon,,,51G29034,51G-29034,51G29034,1,20113,1,20113,20113,0.6185431480407715,yolo_plate_ocr_data/images/val/11CarLongPlate40.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Bill_Simon/Bill_Simon_0014.jpg
198,Claire_Hentzen,,,84K51618,84K-51618,84K51618,1,20114,1,20114,20114,0.831569254398346,yolo_plate_ocr_data/images/val/3xemay254.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Claire_Hentzen/Claire_Hentzen_0001.jpg
199,Jeffrey_Scott_Postell,,,59F138151,59F1-38151,59F138151,1,20115,1,20115,20115,0.8040239810943604,yolo_plate_ocr_data/images/val/3xemay1780.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Jeffrey_Scott_Postell/Jeffrey_Scott_Postell_0001.jpg
200,Carla_Myers,,,72L21703,72L-21703,72L21703,1,20116,1,20116,20116,0.5298948884010315,yolo_plate_ocr_data/images/val/6xemay343.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Carla_Myers/Carla_Myers_0002.jpg
201,Sally_Kirkland,,,59D165455,59D1-65455,59D165455,1,20117,1,20117,20117,0.4146151840686798,yolo_plate_ocr_data/images/val/1xemay1421.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Sally_Kirkland/Sally_Kirkland_0004.jpg
202,Mark_Hurlbert,,,51F68784,51F-68784,51F68784,1,20118,1,20118,20118,0.6367649435997009,yolo_plate_ocr_data/images/val/6CarLongPlate412.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Mark_Hurlbert/Mark_Hurlbert_0005.jpg
203,Tony_Bennett,,,55F114927,85F1-14927,85F114927,1,20119,1,20119,20119,0.7833790183067322,yolo_plate_ocr_data/images/val/10xemay2052.jpg,/home/somethink/parking_system/benchmark_data/lfw_funneled/Tony_Bennett/Tony_Bennett_0004.jpg
